Hand_R, , ,Elbow_R, , ,Body, , 
-0.1422267,-0.4438829,-1.591631,0.02314956,-0.2988991,-1.847864,-0.1727218,-0.2346066,-1.896651
-0.1796186,-0.3971842,-1.57378,0.01043117,-0.2913531,-1.814883,-0.1673807,-0.2384216,-1.898585
-0.1796186,-0.3971842,-1.57378,0.01043117,-0.2913531,-1.814883,-0.1673807,-0.2384216,-1.898585
-0.1796186,-0.3971842,-1.57378,0.01043117,-0.2913531,-1.814883,-0.1673807,-0.2384216,-1.898585
-0.1796186,-0.3971842,-1.57378,0.01043117,-0.2913531,-1.814883,-0.1673807,-0.2384216,-1.898585
-0.1796186,-0.3971842,-1.57378,0.01043117,-0.2913531,-1.814883,-0.1673807,-0.2384216,-1.898585
-0.2332897,-0.3217934,-1.535908,-0.0003326295,-0.271556,-1.784414,-0.1666683,-0.2380998,-1.898982
-0.2332897,-0.3217934,-1.535908,-0.0003326295,-0.271556,-1.784414,-0.1666683,-0.2380998,-1.898982
-0.2591292,-0.2329004,-1.512182,-0.01195829,-0.242664,-1.753846,-0.1655904,-0.2362221,-1.899055
-0.2591292,-0.2329004,-1.512182,-0.01195829,-0.242664,-1.753846,-0.1655904,-0.2362221,-1.899055
-0.2717227,-0.163909,-1.495577,-0.02338355,-0.204838,-1.716722,-0.1655652,-0.2255395,-1.906713
-0.2717227,-0.163909,-1.495577,-0.02338355,-0.204838,-1.716722,-0.1655652,-0.2255395,-1.906713
-0.2717227,-0.163909,-1.495577,-0.02338355,-0.204838,-1.716722,-0.1655652,-0.2255395,-1.906713
