Hand_L, , ,Elbow_L, , ,Shoulder_L, , ,Body, , 
-0.6390592,0.3355037,-2.170915,-0.4413548,0.2273968,-2.33305,-0.1799205,0.2081648,-2.519159,-0.005418469,-0.007407333,-2.53264
-0.6390592,0.3355037,-2.170915,-0.4413548,0.2273968,-2.33305,-0.1799205,0.2081648,-2.519159,-0.005418469,-0.007407333,-2.53264
-0.6043149,0.4250351,-2.162095,-0.4339013,0.2654558,-2.31805,-0.1803128,0.2095947,-2.519537,-0.0064446,-0.006656939,-2.530195
-0.6043149,0.4250351,-2.162095,-0.4339013,0.2654558,-2.31805,-0.1803128,0.2095947,-2.519537,-0.0064446,-0.006656939,-2.530195
-0.6043149,0.4250351,-2.162095,-0.4339013,0.2654558,-2.31805,-0.1803128,0.2095947,-2.519537,-0.0064446,-0.006656939,-2.530195
-0.6043149,0.4250351,-2.162095,-0.4339013,0.2654558,-2.31805,-0.1803128,0.2095947,-2.519537,-0.0064446,-0.006656939,-2.530195
-0.5641774,0.484717,-2.160799,-0.4203824,0.2936278,-2.311255,-0.1793288,0.205876,-2.512852,-0.004984432,-0.009596887,-2.52975
-0.5641774,0.484717,-2.160799,-0.4203824,0.2936278,-2.311255,-0.1793288,0.205876,-2.512852,-0.004984432,-0.009596887,-2.52975
-0.5162981,0.5231773,-2.15896,-0.4084629,0.3080065,-2.304549,-0.1778131,0.2088184,-2.510669,-0.003604853,-0.00657123,-2.529964
-0.5162981,0.5231773,-2.15896,-0.4084629,0.3080065,-2.304549,-0.1778131,0.2088184,-2.510669,-0.003604853,-0.00657123,-2.529964
-0.453362,0.5520452,-2.145817,-0.3951239,0.3245945,-2.298332,-0.1767991,0.2043285,-2.507409,-0.002998715,-0.01109712,-2.529837
-0.453362,0.5520452,-2.145817,-0.3951239,0.3245945,-2.298332,-0.1767991,0.2043285,-2.507409,-0.002998715,-0.01109712,-2.529837
-0.453362,0.5520452,-2.145817,-0.3951239,0.3245945,-2.298332,-0.1767991,0.2043285,-2.507409,-0.002998715,-0.01109712,-2.529837
-0.3994067,0.5613572,-2.143467,-0.3756343,0.3231785,-2.287355,-0.1754884,0.2026057,-2.506729,-0.001529182,-0.01251741,-2.530773
-0.3994067,0.5613572,-2.143467,-0.3756343,0.3231785,-2.287355,-0.1754884,0.2026057,-2.506729,-0.001529182,-0.01251741,-2.530773
-0.3994067,0.5613572,-2.143467,-0.3756343,0.3231785,-2.287355,-0.1754884,0.2026057,-2.506729,-0.001529182,-0.01251741,-2.530773
-0.3994067,0.5613572,-2.143467,-0.3756343,0.3231785,-2.287355,-0.1754884,0.2026057,-2.506729,-0.001529182,-0.01251741,-2.530773
-0.3406967,0.5631804,-2.147254,-0.3542698,0.3194706,-2.284885,-0.1748625,0.2050725,-2.508113,-0.0006270828,-0.009920878,-2.531462
