Hand_R, , ,Elbow_R, , ,Body, , 
0.03752428,0.3555346,-1.621799,0.1161354,0.1232486,-1.766558,-0.09784557,-0.2561912,-2.055881
0.03752428,0.3555346,-1.621799,0.1161354,0.1232486,-1.766558,-0.09784557,-0.2561912,-2.055881
0.03752428,0.3555346,-1.621799,0.1161354,0.1232486,-1.766558,-0.09784557,-0.2561912,-2.055881
0.03752428,0.3555346,-1.621799,0.1161354,0.1232486,-1.766558,-0.09784557,-0.2561912,-2.055881
0.03752428,0.3555346,-1.621799,0.1161354,0.1232486,-1.766558,-0.09784557,-0.2561912,-2.055881
0.06794228,0.3638764,-1.62067,0.132916,0.1283349,-1.769036,-0.09857299,-0.2526494,-2.056976
0.06794228,0.3638764,-1.62067,0.132916,0.1283349,-1.769036,-0.09857299,-0.2526494,-2.056976
0.06794228,0.3638764,-1.62067,0.132916,0.1283349,-1.769036,-0.09857299,-0.2526494,-2.056976
0.06794228,0.3638764,-1.62067,0.132916,0.1283349,-1.769036,-0.09857299,-0.2526494,-2.056976
0.1065672,0.3686455,-1.628262,0.1489195,0.1310417,-1.777553,-0.09170396,-0.2537971,-2.057179
0.1065672,0.3686455,-1.628262,0.1489195,0.1310417,-1.777553,-0.09170396,-0.2537971,-2.057179
0.1364591,0.3714311,-1.631946,0.1656124,0.1310789,-1.780913,-0.09362417,-0.2536757,-2.056751
0.1364591,0.3714311,-1.631946,0.1656124,0.1310789,-1.780913,-0.09362417,-0.2536757,-2.056751
0.1524863,0.3677541,-1.635629,0.1712593,0.1281961,-1.787421,-0.09405691,-0.2541806,-2.056986
0.1524863,0.3677541,-1.635629,0.1712593,0.1281961,-1.787421,-0.09405691,-0.2541806,-2.056986
0.1524863,0.3677541,-1.635629,0.1712593,0.1281961,-1.787421,-0.09405691,-0.2541806,-2.056986
0.1524863,0.3677541,-1.635629,0.1712593,0.1281961,-1.787421,-0.09405691,-0.2541806,-2.056986
0.1733222,0.3595314,-1.641795,0.1761666,0.1230383,-1.796474,-0.09441219,-0.2548965,-2.057293
0.1733222,0.3595314,-1.641795,0.1761666,0.1230383,-1.796474,-0.09441219,-0.2548965,-2.057293
0.1796547,0.3528001,-1.641952,0.1818125,0.1193453,-1.802022,-0.09107179,-0.255841,-2.056968
0.1796547,0.3528001,-1.641952,0.1818125,0.1193453,-1.802022,-0.09107179,-0.255841,-2.056968
0.1796547,0.3528001,-1.641952,0.1818125,0.1193453,-1.802022,-0.09107179,-0.255841,-2.056968
0.1796547,0.3528001,-1.641952,0.1818125,0.1193453,-1.802022,-0.09107179,-0.255841,-2.056968
0.1838755,0.3516038,-1.641703,0.1884394,0.1197079,-1.803565,-0.09111862,-0.2552322,-2.055296
0.1838755,0.3516038,-1.641703,0.1884394,0.1197079,-1.803565,-0.09111862,-0.2552322,-2.055296
0.1838755,0.3516038,-1.641703,0.1884394,0.1197079,-1.803565,-0.09111862,-0.2552322,-2.055296
0.1838755,0.3516038,-1.641703,0.1884394,0.1197079,-1.803565,-0.09111862,-0.2552322,-2.055296
0.1894919,0.3512864,-1.641512,0.1904106,0.1178045,-1.805324,-0.08709563,-0.2575697,-2.055071
0.1894919,0.3512864,-1.641512,0.1904106,0.1178045,-1.805324,-0.08709563,-0.2575697,-2.055071
0.1894919,0.3512864,-1.641512,0.1965218,0.1150675,-1.802323,-0.08739035,-0.2575713,-2.054495
0.1894919,0.3512864,-1.641512,0.1965218,0.1150675,-1.802323,-0.08739035,-0.2575713,-2.054495
0.1942521,0.3479896,-1.640095,0.1965218,0.1150675,-1.802323,-0.08739035,-0.2575713,-2.054495
0.1942521,0.3479896,-1.640095,0.1965218,0.1150675,-1.802323,-0.08739035,-0.2575713,-2.054495
0.1904786,0.3447103,-1.640174,0.1977488,0.1128089,-1.802016,-0.08867222,-0.2553139,-2.055576
0.1904786,0.3447103,-1.640174,0.1977488,0.1128089,-1.802016,-0.08867222,-0.2553139,-2.055576
0.1911312,0.344214,-1.638611,0.1979703,0.11217,-1.79845,-0.09090378,-0.2567441,-2.056376
0.1911312,0.344214,-1.638611,0.1979703,0.11217,-1.79845,-0.09090378,-0.2567441,-2.056376
0.1911312,0.344214,-1.638611,0.1979703,0.11217,-1.79845,-0.09090378,-0.2567441,-2.056376
